trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,text_welcome.started,text_welcome.stopped,keyboard_welcome.keys,keyboard_welcome.rt,keyboard_welcome.started,keyboard_welcome.stopped,image_trial.started,image_trial.stopped,keyboard_trial.keys,keyboard_trial.rt,keyboard_trial.started,keyboard_trial.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,43.00274239695864,None,space,27.68094533099793,43.00274239695864,None,,,,,,,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
0,0,0,0,,,,,,,71.00604920997284,None,left,1.200330150022637,71.00604920997284,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
1,0,1,0,,,,,,,72.52296947996365,None,left,0.52742528001545,72.52296947996365,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
2,0,2,0,,,,,,,73.71400842996081,None,left,0.4684843720169738,73.71400842996081,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
3,0,3,0,,,,,,,74.49320649099536,None,left,0.48422653396846727,74.49320649099536,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
4,0,4,0,,,,,,,75.26171058998443,None,right,0.45963309198850766,75.26171058998443,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
5,0,5,0,,,,,,,76.00882549199741,None,right,0.33650443999795243,76.00882549199741,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
6,0,6,0,,,,,,,76.99166207195958,None,right,0.3466767800273374,76.99166207195958,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
7,0,7,0,,,,,,,77.62480911897728,None,right,0.45553249795921147,77.62480911897728,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
8,0,8,0,,,,,,,78.37596039898926,None,right,0.4532465480151586,78.37596039898926,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
9,0,9,0,,,,,,,79.47831800399581,None,right,1.7118092100135982,79.47831800399581,None,,,,001,2020_Feb_05_1924,image_slide,3.2.4,60.51567987400345,
,,,,,,,,,,,,,,,,81.37753659900045,None,,,,,,,
